filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
475.png,4401,"{}",64,16,"{""name"": ""rect"", ""x"": 162, ""y"": 29, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,17,"{""name"": ""rect"", ""x"": 2, ""y"": 38, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,18,"{""name"": ""rect"", ""x"": 20, ""y"": 38, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,19,"{""name"": ""rect"", ""x"": 2, ""y"": 47, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,20,"{""name"": ""rect"", ""x"": 39, ""y"": 56, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,21,"{""name"": ""rect"", ""x"": 2, ""y"": 65, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,22,"{""name"": ""rect"", ""x"": 106, ""y"": 74, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,23,"{""name"": ""rect"", ""x"": 2, ""y"": 92, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,24,"{""name"": ""rect"", ""x"": 8, ""y"": 92, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,25,"{""name"": ""rect"", ""x"": 14, ""y"": 92, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,26,"{""name"": ""rect"", ""x"": 33, ""y"": 128, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,27,"{""name"": ""rect"", ""x"": 132, ""y"": 128, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,28,"{""name"": ""rect"", ""x"": 8, ""y"": 146, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,29,"{""name"": ""rect"", ""x"": 46, ""y"": 155, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,30,"{""name"": ""rect"", ""x"": 110, ""y"": 182, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,31,"{""name"": ""rect"", ""x"": 140, ""y"": 182, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,32,"{""name"": ""rect"", ""x"": 111, ""y"": 218, ""width"": 5, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,33,"{""name"": ""rect"", ""x"": 8, ""y"": 2, ""width"": 1, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,34,"{""name"": ""rect"", ""x"": 40, ""y"": 2, ""width"": 4, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,35,"{""name"": ""rect"", ""x"": 155, ""y"": 20, ""width"": 4, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,36,"{""name"": ""rect"", ""x"": 45, ""y"": 2, ""width"": 3, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,37,"{""name"": ""rect"", ""x"": 85, ""y"": 2, ""width"": 3, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,38,"{""name"": ""rect"", ""x"": 155, ""y"": 2, ""width"": 3, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,39,"{""name"": ""rect"", ""x"": 2, ""y"": 20, ""width"": 3, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,40,"{""name"": ""rect"", ""x"": 56, ""y"": 209, ""width"": 3, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,41,"{""name"": ""rect"", ""x"": 83, ""y"": 209, ""width"": 3, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,42,"{""name"": ""rect"", ""x"": 143, ""y"": 2, ""width"": 2, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,43,"{""name"": ""rect"", ""x"": 10, ""y"": 4, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,44,"{""name"": ""rect"", ""x"": 16, ""y"": 4, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,45,"{""name"": ""rect"", ""x"": 22, ""y"": 4, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,46,"{""name"": ""rect"", ""x"": 28, ""y"": 4, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,47,"{""name"": ""rect"", ""x"": 34, ""y"": 4, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,48,"{""name"": ""rect"", ""x"": 123, ""y"": 4, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,49,"{""name"": ""rect"", ""x"": 29, ""y"": 13, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,50,"{""name"": ""rect"", ""x"": 127, ""y"": 22, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,51,"{""name"": ""rect"", ""x"": 186, ""y"": 22, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,52,"{""name"": ""rect"", ""x"": 45, ""y"": 58, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,53,"{""name"": ""rect"", ""x"": 51, ""y"": 76, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,54,"{""name"": ""rect"", ""x"": 75, ""y"": 76, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,55,"{""name"": ""rect"", ""x"": 78, ""y"": 192, ""width"": 5, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,56,"{""name"": ""rect"", ""x"": 59, ""y"": 8, ""width"": 1, ""height"": 1}","{""name"": """"}"
475.png,4401,"{}",64,57,"{""name"": ""rect"", ""x"": 23, ""y"": 13, ""width"": 5, ""height"": 6}","{""name"": """"}"
475.png,4401,"{}",64,58,"{""name"": ""rect"", ""x"": 79, ""y"": 13, ""width"": 5, ""height"": 6}","{""name"": """"}"
475.png,4401,"{}",64,59,"{""name"": ""rect"", ""x"": 22, ""y"": 22, ""width"": 5, ""height"": 6}","{""name"": """"}"
475.png,4401,"{}",64,60,"{""name"": ""rect"", ""x"": 45, ""y"": 13, ""width"": 1, ""height"": 5}","{""name"": """"}"
475.png,4401,"{}",64,61,"{""name"": ""rect"", ""x"": 100, ""y"": 21, ""width"": 6, ""height"": 7}","{""name"": """"}"
475.png,4401,"{}",64,62,"{""name"": ""rect"", ""x"": 166, ""y"": 26, ""width"": 1, ""height"": 2}","{""name"": """"}"
475.png,4401,"{}",64,63,"{""name"": ""rect"", ""x"": 26, ""y"": 95, ""width"": 5, ""height"": 1}","{""name"": """"}"
480.png,4445,"{}",1,0,"{""name"": ""rect"", ""x"": 76, ""y"": 137, ""width"": 5, ""height"": 7}","{""name"": """"}"
